policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
round_robin,good,2031,0.19155619161793835,52.78707486342747,46.111111111111114,44.57810037872527,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.4969155694581565,0.021178017484311338,0.04068172001923451,0.035902902374804854,0.38952580865000463,0.16513313172111818
error_trigger,good,2031,0.18294745832829395,50.98933136918236,32.5,18.582238606187456,360,6464,883.68,0.0,1800,66.89907407407408,360.0,0.5537976192320425,0.31117975859358676,0.06493235388369654,0.06418909355883273,0.10621216846888802,0.38996750271259667,0.16120387275216286
aoi,good,2031,0.20283803286535804,55.82584849598657,53.05555555555556,58.77800941978566,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5674267690130594,0.020888771409804448,0.0407444607302049,0.033476187861609934,0.38957028102320873,0.16492172715426076
risk,good,2031,0.21503818967407287,59.44743276745041,32.5,21.423858077318638,283,5078,717.36,0.0,328,98.3087962962963,360.0,0.6758586800214778,0.3055970333457555,0.04661430811446908,0.06418909355883273,0.15266213496239425,0.38996750271259667,0.33119906535038907
cvoi,good,2031,0.18078769701488615,48.39776144522194,32.22222222222222,19.276404470142857,359,6458,882.9599999999999,0.0,1768,12.544907407407408,74.0,0.8808293984141621,0.3118252366254044,0.04750724119580204,0.053426985306528514,0.038052159971298634,0.38959114348323964,0.24432341550704365
periodic_all,good,2032,0.30513342911646585,95.70474907228004,58.888888888888886,38.54652641575693,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.3435128678681647,0.16511281388379362,0.05781318913813977,0.43307140509465436,0.38577362663633363,0.4455166720777089
round_robin,good,2032,0.18748769112232402,51.801674686077604,41.111111111111114,43.07848959947775,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.492646583748288,0.022756282456300448,0.03311571549868781,0.041859538632017496,0.37607364499067236,0.15847438140797807
error_trigger,good,2032,0.2213791407350366,62.42258088342907,30.27777777777778,25.275927044065394,360,6426,879.12,0.0,1800,47.89398148148148,360.0,0.38801022779052047,0.3041109023738451,0.14069247504455462,0.05781318913813977,0.2917653216298643,0.3770345366108994,0.15685841961291644
aoi,good,2032,0.1996398007889617,55.32142607995149,48.05555555555556,56.3667728522008,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.561979693615146,0.022612915352792654,0.03371799776992886,0.04245539833930105,0.3762132690290993,0.16085953062750236
risk,good,2032,0.2425548720674363,70.36161527964045,29.444444444444443,20.793871332106644,277,4954,702.48,0.0,420,86.71944444444443,360.0,0.5892528844173563,0.29862204183922203,0.16511281388379362,0.05781318913813977,0.20551153542913922,0.3765017018815125,0.3517679502328106
