plant,network,contrast,metric,n_pairs,mean_difference,sd_difference,ci95_low,ci95_high,p_value,cohen_dz,probability_A_better,better_direction,crn_gate,holm_family,p_value_holm
irrigation,N1_nominal,ET-MPC_minus_TT-MPC,command_applied_pct,50,-0.04447027551154804,0.35339372493706656,-0.14490366089058526,0.05596310986748918,0.3779172787532118,-0.12583776217154802,0.42,higher,True,network_metric:N1_nominal:command_applied_pct,1.0
irrigation,N1_nominal,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N1_nominal:deadline_miss_pct,1.0
irrigation,N1_nominal,ET-PI_minus_TT-PI,nrmse,50,-0.0003267070496904989,0.0018032864797494989,-0.0008391953967932706,0.0001857812974122728,0.20619299324565848,-0.18117312659932047,0.54,lower,True,network_metric:N1_nominal:nrmse,0.5963962289676422
irrigation,N1_nominal,ET-PI_minus_TT-PI,violation_pct,50,-0.011904761904761472,0.4771006850035899,-0.14749527633764042,0.12368575252811748,0.8606759505663504,-0.024952305202982254,0.4,lower,True,network_metric:N1_nominal:violation_pct,0.8606759505663504
irrigation,N1_nominal,ET-PI_minus_TT-PI,transmissions,50,-53.5,6.399138972692868,-55.31861517391949,-51.68138482608051,3.1992277596192973e-47,-8.36049978415866,1.0,lower,True,network_metric:N1_nominal:transmissions,6.398455519238595e-47
irrigation,N1_nominal,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-158.95951382144165,19.488142278746427,-164.49798257651477,-153.42104506636852,1.0540054228534542e-46,-8.15672995136131,1.0,lower,True,network_metric:N1_nominal:total_modeled_energy_mj,2.1080108457069083e-46
irrigation,N1_nominal,ET-PI_minus_TT-PI,command_applied_pct,50,-0.02515073513283113,0.4013498788684912,-0.1392131086608484,0.08891163839518615,0.6596356674204595,-0.06266536121485208,0.4,higher,True,network_metric:N1_nominal:command_applied_pct,1.0
irrigation,N1_nominal,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N1_nominal:deadline_miss_pct,1.0
irrigation,N2_iid_loss,ET-MPC_minus_TT-MPC,nrmse,50,5.365935792398524e-06,0.00046999841153537154,-0.00012820613485394202,0.00013893800643873907,0.9359856444621575,0.011416923250589944,0.4,lower,True,network_metric:N2_iid_loss:nrmse,1.0
irrigation,N2_iid_loss,ET-MPC_minus_TT-MPC,violation_pct,50,-0.008928571428571633,0.09700029376317948,-0.0364957498982293,0.018638607041086032,0.5181713881765779,-0.09204684936697424,0.1,lower,True,network_metric:N2_iid_loss:violation_pct,1.0
irrigation,N2_iid_loss,ET-MPC_minus_TT-MPC,transmissions,50,-48.6,8.344618209434419,-50.97151425543367,-46.228485744566335,1.1124793851057038e-39,-5.824113072669146,1.0,lower,True,network_metric:N2_iid_loss:transmissions,1.1124793851057038e-39
irrigation,N2_iid_loss,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-161.55056799867606,27.981008281887597,-169.5026825659885,-153.59845343136362,1.684968774221408e-39,-5.773579220990741,1.0,lower,True,network_metric:N2_iid_loss:total_modeled_energy_mj,3.369937548442816e-39
irrigation,N2_iid_loss,ET-MPC_minus_TT-MPC,command_applied_pct,50,-0.1724903266961428,0.7984129190485293,-0.3993967676769016,0.05441611428461593,0.13303093080175032,-0.21604150256198254,0.4,higher,True,network_metric:N2_iid_loss:command_applied_pct,0.399092792405251
irrigation,N2_iid_loss,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N2_iid_loss:deadline_miss_pct,1.0
irrigation,N2_iid_loss,ET-PI_minus_TT-PI,nrmse,50,-0.00012432773716632983,0.0019688420945380156,-0.0006838664694016604,0.0004352109950690007,0.6571879783108426,-0.06314764272423942,0.54,lower,True,network_metric:N2_iid_loss:nrmse,1.0
irrigation,N2_iid_loss,ET-PI_minus_TT-PI,violation_pct,50,0.06547619047619038,0.34561907198812236,-0.032747662982186274,0.16370004393456705,0.18656006700488478,0.18944611505247186,0.22,lower,True,network_metric:N2_iid_loss:violation_pct,0.5596802010146543
irrigation,N2_iid_loss,ET-PI_minus_TT-PI,transmissions,50,-48.36,8.001938540638966,-50.634125771119685,-46.085874228880314,1.9063135914410083e-40,-6.04353554509285,1.0,lower,True,network_metric:N2_iid_loss:transmissions,3.812627182882017e-40
irrigation,N2_iid_loss,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-163.64620000504055,28.407445479221593,-171.7195066829017,-155.5728933271794,1.8743648014657272e-39,-5.760679893753147,1.0,lower,True,network_metric:N2_iid_loss:total_modeled_energy_mj,3.369937548442816e-39
irrigation,N2_iid_loss,ET-PI_minus_TT-PI,command_applied_pct,50,-0.18469548774892786,0.7409600267382392,-0.39527399739596736,0.025883021898111647,0.08420942488471704,-0.24926511698879497,0.34,higher,True,network_metric:N2_iid_loss:command_applied_pct,0.33683769953886816
irrigation,N2_iid_loss,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N2_iid_loss:deadline_miss_pct,1.0
